jpword_id	hiragana	kanji	chinese	wordset_id
344	おにいさん	お兄さん	哥哥	1
345	かんこくご	韓国語	韩语	1
346	ゆうがた	夕方	傍晚	1
347	ひるやすみ	昼休み	午休	1
348	もらいます		拿到，得到	1
349	あいます	会います	见	1
350	おくります	送ります	寄	1
351	つくります	作ります	做，制造	1
352	ふとります	太ります	胖	1
353	だします	出します	寄（信）	1
354	とどきます	届きます	收到，送到，寄到	1
355	かきます		画	1
356	かします	貸します	借出，借给	1
357	ならいます	習います	学习	1
358	あげます		给	1
359	かけます		打（电话）	1
360	かります	借ります	（向别人）借	1
361	おしえます	教えます	教	1
362	もう		已经	1
363	さっき		刚才	1
364	たったいま	たった今	刚刚	1
365	もういちど	もう一度	再一次	1
366	まえに	前に	以前	1
367	ちん	陳	陈	1
368	りょうり	料理	菜肴，饭菜	1
369	しせんりょうり	四川料理	四川菜	1
370	スーブ		汤	1
371	ぺキンダック	北京～	北京烤鸭	1
372	たべもの	食べ物	食物，食品	1
373	すきやき	すき焼き	日式牛肉火锅	1
374	おんせん	温泉	温泉	1
375	おゆ	お湯	热水，开水	1
376	みず	水	水，凉水	1
377	ゆかた	浴衣	浴衣，夏季和服	1
378	ながめ	眺め	景色，风景	1
379	くすり	薬	药	1
380	てんき	天気	天气	1
381	うみ	海	大海	1
382	やま	山	山	1
383	かみ	紙	纸	1
384	ニュース		新闻	1
385	じょせい	女性	女性	1
386	おきゃくさま	お客様	来宾	1
387	グラス		玻璃杯	1
388	かぶき	歌舞伎	歌舞伎	1
389	きもち	気持ち	心情	1
390	たくさん		很多	1
391	からい	辛い	辣	1
392	あまい	甘い	甜	1
393	しおからい（塩辛い）∕しょっぱい		咸	1
394	すっぱい	酸っぱい	酸	1
395	にがい	苦い	苦	1
396	おいしい		好吃，可口	1
397	まずい		不好吃，难吃	1
398	あつい		热，烫	1
399	つめたい	冷たい	凉	1
400	たのしい	楽しい	愉快，快乐	1
401	おもしろい		有趣，有意思	1
402	つまらない		无聊	1
403	ひろい	広い	广阔，宽敞	1
404	せまい	狭い	狭窄	1
405	おおきい	大きい	大	1
406	ちいさい	小さい	小	1
407	いそがしい	忙しい	忙，忙碌	1
408	いい		好	1
409	わるい	悪い	不好，坏	1
410	すばらしい		极好，绝佳	1
411	とおい	遠い	远	1
412	ちかい	近い	近	1
413	たかい	高い	高，贵	1
414	ひくい	低い	低	1
415	やすい	安い	便宜	1
416	さむい	寒い	寒冷	1
417	あつい	暑い	（天气）热	1
418	あおい	青い	蓝色的	1
419	しろい	白い	白色的	1
420	あたらしい	新しい	新	1
421	ふるい	古い	旧	1
422	むずかしい	難しい	难	1
423	やさしい	易しい	容易	1
424	おおい	多い	多	1
425	すくない	少ない	少	1
426	かわいい		可爱	1
427	ほんとうに	本当に	真的，实在是	1
428	あまり		不（太）～，不很～	1
429	とても∕たいへん		很，非常	1
430	すこし（少し）∕ちょっと		一点儿	1
431	ぜんぜん	全然	根本（不），全然（不）	1
432	ちょうど		正好，恰好	1
433	あら∕あれ		哎呀，咦	1
434	ああ		啊	1
435	てんあんもん	天安門	天安门	1
436	もみじ	紅葉	红叶	1
437	こきょう	故郷	故乡	1
438	とおり	通り	大街	1
439	まち	町	城市，街道	1
440	ところ	所	场所	1
441	おみせ	お店	餐馆；商店	1
442	にんぎょう	人形	玩偶	1
443	さくひん	作品	作品	1
444	ちょうこく	彫刻	雕刻	1
445	じどうしゃ	自動車	汽车	1
446	どうぐ	道具	工具	1
447	さかな	魚	鱼	1
448	おかし	お菓子	点心	1
449	もの	物	物品，东西	1
450	シーズン		季节	1
451	しゅうがくりょこう	修学旅行	修学旅行	1
452	かんこうきゃく	観光客	游客	1
453	さっか	作家	作家	1
454	ぶちょう	部長	部长	1
455	へいじつ	平日	平日，非休息日	1
456	ひ	日	日子	1
457	せいかつ	生活	生活	1
458	せかい	世界	世界	1
459	はれ	晴れ	晴天	1
460	あめ	雨	雨，下雨	1
461	くもり	曇り	阴天	1
462	ゆき	雪	雪	1
463	きたない	汚い	脏	1
464	きれい		漂亮，干净	1
465	ゆうめい	有名	有名	1
466	にぎやか		热闹，繁华	1
467	しずか	静か	安静	1
468	ひま	暇	空闲	1
469	しんせつ	親切	热情	1
470	すき	好き	喜欢	1
471	きらい	嫌い	讨厌	1
472	べんり	便利	方便	1
473	ふべん	不便	不方便	1
474	げんき	元気	健康，有精神	1
475	かんたん	簡単	简单	1
476	ハンサム		英俊，帅气	1
477	どんな		什么样的，怎样的	1
478	どう		怎样，如何	1
479	いかが		如何	1
480	いろいろ		各种各样	1
481	でも		可是，不过	1
482	そして		而且，于是	1
483	ところで 〔连〕 	转换话题	哎	1
484	あれえ		咦	1
485	なら	奈良	奈良	1
486	ふじさん	富士山	富士山	1
487	うた	歌	歌，歌曲	1
488	カラオケ		卡拉OK	1
489	ロック		摇滚乐	1
490	ボブッス		流行音乐	1
491	クラシック		西方古典音乐	1
492	ピアノ		钢琴	1
493	え	絵	画儿	1
494	えいご	英語	英语	1
495	スペインご	～語	西班牙语	1
496	スポーツ		体育，运动	1
497	すいえい	水泳	游泳	1
498	ゴルフ		高尔夫球	1
499	うんてん	運転	开车	1
500	のみもの	飲み物	饮料	1
501	おさけ	お酒	酒，酒类	1
502	にく	肉	肉	1
503	やさい	野菜	蔬菜	1
504	くだもの	果物	水果	1
505	ヒマワリ		向日葵	1
506	バラ		蔷薇，玫瑰	1
507	コンピュータ		计算机，电脑	1
508	まど	窓	窗，窗户	1
509	けっこんしき	結婚式	结婚典礼	1
510	しゃしんてん	写真展	摄影展	1
511	りょかん	旅館	旅馆，旅店	1
512	べっそう	別荘	别墅	1
513	もよう	模様	花纹，纹案	1
514	がいこく	外国	外国	1
515	かいぎ	会議	会议	1
516	あし	脚	腿	1
517	ぼく		我（男性自称）	1
518	わかります	分かります	懂，明白	1
519	まよいます	迷います	犹豫，难以决定	1
520	できます		会；能；完成	1
521	しめます	閉めます	关闭，关门	1
522	つかれます	疲れます	疲倦，疲惫	1
523	さんぽします	散歩～	散步	1
524	こわい	怖い	害怕，恐怖	1
525	あかい	赤い	红	1
526	いたい	痛い	疼，疼痛	1
527	じょうず	上手	擅长，高明，水平高	1
528	へた	下手	不高明，水平低	1
529	にがて	苦手	不擅长，不善于	1
530	ときどき	時々	有时，时不时	1
531	よく		经常，常常	1
532	たまに		偶尔，很少	1
533	また		还，再，又	1
534	どうして		为什么	1
535	だから∕ですから		所以，因此	1
536	うーん		嗯……，这个……	1
537	きせつ	季節	季节	1
538	ふゆ	冬	冬天，冬季	1
539	はる	春	春天，春季	1
540	にほんりょうり	日本料理	日式饭菜	1
541	すし	寿司	寿司	1
542	ナシ		梨	1
543	バナナ		香蕉	1
544	ミカン		橘子	1
545	しょうちゅう	焼酎	烧酒	1
546	にほんしゅ	日本酒	日本酒	1
547	こうちゃ	紅茶	红茶	1
548	ウーロンちゃ	～茶	乌龙茶	1
549	ジャスミンちゃ	～茶	茉莉花茶	1
550	りょくちゃ	緑茶	绿茶	1
551	ジュース		果汁	1
552	にんき	人気	声望，受欢迎	1
553	せき	席	座位，席位	1
554	クラス		班级	1
555	しゅるい	種類	种类	1
556	せ	背	个子	1
557	あに	兄	哥哥，兄长	1
558	さいきん	最近	最近，近来	1
559	ふります	降ります	〔动1〕	1
560	下	雨，雪	，降（雨，雪）	1
561	わかい	若い	年轻	1
562	あたたかい	暖かい	暖和，温暖	1
563	すずしい	涼しい	凉爽	1
564	はやい	速い	快	1
565	だいすき	大好き	非常喜欢	1
566	いちばん		最，第一	1
567	ずっと		～得多	1
568	やはり∕やっぱり		仍然，还是	1
569	エベレスト		珠穆朗玛峰	1
570	にもつ	荷物	包裹	1
571	はがき		明信片	1
572	きって	切手	邮票	1
573	ひきだし	引き出し	抽屉	1
574	アルバム		相册	1
575	タバコ		烟，烟草	1
576	まんが	漫画	漫画	1
577	ガレージ		车库，汽车房	1
578	しゅうり	修理	修理	1
579	いざかや	居酒屋	酒馆	1
580	なまビール	生～	生啤	1
581	やきとり	焼き鳥	烤鸡肉串	1
582	からあげ	唐揚げ	炸鸡，油炸食品	1
583	にくじゃが	肉じゃが	土豆炖肉	1
584	ボーリング		保龄球	1
585	かみ	髪	头发	1
586	ぞう	象	象，大象	1
587	ひる	昼	白天，中午	1
588	ほか		另外，其他	1
589	かかります		花费（时间，金钱）	1
590	さきます	咲きます	花开	1
591	およぎます	泳ぎます	游泳	1
592	あそびます	遊びます	玩，玩耍	1
593	すいます	吸います	吸（烟）	1
594	きります	切ります	剪，切，割	1
595	だいたい		大约，大概，大体	1
596	とりあえず		暂且	1
597	ふなびん	船便	海运	1
598	しょるい	書類	文件，文稿	1
599	げんこう	原稿	稿子，原稿	1
600	きじ	記事	报道	1
601	メモ		记录	1
602	えきまえ	駅前	车站一带	1
603	はし	橋	桥，桥梁	1
604	かど	角	拐角	1
605	おうだんほどう	横断歩道	人行横道	1
606	みぎ	右	右，右边	1
607	ひだり	左	左，左边	1
608	こうさてん	交差点	十字路口	1
609	みち	道	路，道路	1
610	ドア		门	1
611	でんき	電気	电，电力	1
612	たいきょくけん	太極拳	太极拳	1
613	あさごはん	朝ご飯	早饭	1
614	ばんごはん	晩ご飯	晚饭	1
615	バーベキュー		户外烧烤	1
616	とおります	通ります	通过，经过	1
617	いそぎます	急ぎます	急，急忙	1
618	とびます	飛びます	飞，飞行	1
619	しにます	死にます	死，死亡	1
620	まちます	待ちます	等待，等候	1
621	うります	売ります	卖，销售	1
622	はなします	話します	说话，说	1
623	わたります	渡ります	〔动1〕	1
624	过	桥，河	，穿过（马路）	1
625	おろします	下ろします	取，卸货	1
626	えらびます	選びます	挑选，选择	1
627	けします	消します	〔动1〕	1
628	关	灯	，消除，去除	1
629	あるきます	歩きます	步行，行走	1
630	まがります	曲がります	拐弯，曲折	1
631	あらいます	洗います	洗，洗涤	1
632	でます	出ます	离开	1
633	でかけます	出かけます	外出，出门	1
634	あけます	開けます	开，打开，开启	1
635	すぎます	過ぎます	过	1
636	みせます	見せます	给～看；出示	1
637	つけます		开（灯）	1
638	おります	降ります	下（车，山）	1
639	かいものします	買い物～	买东西	1
640	そつぎょうします	卒業～	毕业	1
641	しょくじします	食事～	吃饭，用餐	1
642	せいりします	整理～	整理	1
643	コピーします		复印	1
644	くらい	暗い	黑暗，昏暗	1
645	たいへん	大変	够受的，不得了	1
646	なかなか		相当，很，非常	1
647	こう		这样，如此	1
648	そう∕ああ		那样	1
649	あとで	後で	过会儿	1
650	それから		然后	1
651	ボート		小船，小艇	1
652	ベンチ		长椅，长凳	1
653	しやくしょ	市役所	市政府	1
654	けいたいでんわ	携帯電話	手机	1
655	きんえん	禁煙	禁止吸烟	1
656	かぜ	風邪	感冒	1
657	ねつ	熱	发烧，体温	1
658	すいみん	睡眠	睡眠	1
659	おふろ	お風呂	澡堂，浴室	1
660	やっきょく	薬局	药店	1
661	クーラー		空调	1
662	ひ	火	火	1
663	き	気	精神，意识	1
664	うちあわせ	打ち合わせ	〔名〕	1
665	むり	無理	勉强，难以办到	1
666	ちゅうしゃきんし	駐車禁止	禁止停车	1
667	たちいりきんし	立入禁止	禁止进入	1
668	かきげんきん	火気厳禁	严禁烟火	1
669	さつえいきんし	撮影禁止	禁止拍照	1
670	のります	乗ります	乘坐，乘	1
671	つかいます	使います	用，使用	1
672	すわります	座ります	坐，落座	1
673	はいります	入ります	进入，加入	1
674	もうします	申します	是，说，讲，告诉	1
675	とります		取，取得	1
676	うたいます	歌います	唱，歌唱	1
677	つたえます	伝えます	说，传达，转告	1
678	とめます	止めます	停，制止	1
679	あたたかい	暖かい	热乎，温暖	1
680	だいじょうぶ	大丈夫	没关系，放心	1
681	だめ		不行，不可以	1
682	じゅうぶん	十分	好好地，充足地	1
683	もちろん		当然，不用说	1
684	ゆっくり		好好地，安静地	1
685	もしもし		喂	1
